id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10,just_date,just_month,just_year
31440,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20161031,01-Nov-2016,00:00,757.21,1176.0,01,Nov,2016
31441,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20161031,01-Nov-2016,04:00,483.43,1159.38,01,Nov,2016
31442,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20161031,01-Nov-2016,08:00,460.17,796.23,01,Nov,2016
31443,Delhi,"Anand Vihar, Delhi - DPCC",site_301,Delhi,run2_delhi_delhi_site_301_20161031,01-Nov-2016,12:00,195.81,631.08,01,Nov,2016
31896,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161031,01-Nov-2016,00:00,,,01,Nov,2016
31897,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161031,01-Nov-2016,04:00,,,01,Nov,2016
31898,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161031,01-Nov-2016,08:00,,,01,Nov,2016
31899,Delhi,"Ashok Vihar, Delhi - DPCC",site_1420,Delhi,run2_delhi_delhi_site_1420_20161031,01-Nov-2016,12:00,,,01,Nov,2016
32356,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161031,01-Nov-2016,00:00,,,01,Nov,2016
32357,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161031,01-Nov-2016,04:00,,,01,Nov,2016
32358,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161031,01-Nov-2016,08:00,,,01,Nov,2016
32359,Delhi,"Aya Nagar, New Delhi - IMD",site_108,Delhi,run2_delhi_delhi_site_108_20161031,01-Nov-2016,12:00,,,01,Nov,2016
32816,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161031,01-Nov-2016,00:00,,,01,Nov,2016
32817,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161031,01-Nov-2016,04:00,,,01,Nov,2016
32818,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161031,01-Nov-2016,08:00,,,01,Nov,2016
32819,Delhi,"Bawana, Delhi - DPCC",site_1560,Delhi,run2_delhi_delhi_site_1560_20161031,01-Nov-2016,12:00,,,01,Nov,2016
33256,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161031,01-Nov-2016,00:00,,,01,Nov,2016
33257,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161031,01-Nov-2016,04:00,,,01,Nov,2016
33258,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161031,01-Nov-2016,08:00,,,01,Nov,2016
33259,Delhi,"Burari Crossing, New Delhi - IMD",site_104,Delhi,run2_delhi_delhi_site_104_20161031,01-Nov-2016,12:00,,,01,Nov,2016
33716,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161031,01-Nov-2016,00:00,,,01,Nov,2016
33717,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161031,01-Nov-2016,04:00,,,01,Nov,2016
33718,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161031,01-Nov-2016,08:00,,,01,Nov,2016
33719,Delhi,"CRRI Mathura Road, New Delhi - IMD",site_103,Delhi,run2_delhi_delhi_site_103_20161031,01-Nov-2016,12:00,,,01,Nov,2016
34166,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161031,01-Nov-2016,00:00,,,01,Nov,2016
34167,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161031,01-Nov-2016,04:00,,,01,Nov,2016
34168,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161031,01-Nov-2016,08:00,,,01,Nov,2016
34169,Delhi,"DTU, New Delhi - CPCB",site_118,Delhi,run2_delhi_delhi_site_118_20161031,01-Nov-2016,12:00,,,01,Nov,2016
34626,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161031,01-Nov-2016,00:00,,,01,Nov,2016
34627,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161031,01-Nov-2016,04:00,,,01,Nov,2016
34628,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161031,01-Nov-2016,08:00,,,01,Nov,2016
34629,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,Delhi,run2_delhi_delhi_site_1421_20161031,01-Nov-2016,12:00,,,01,Nov,2016
35086,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161031,01-Nov-2016,00:00,,,01,Nov,2016
35087,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161031,01-Nov-2016,04:00,,,01,Nov,2016
35088,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161031,01-Nov-2016,08:00,,,01,Nov,2016
35089,Delhi,"Dwarka-Sector 8, Delhi - DPCC",site_1422,Delhi,run2_delhi_delhi_site_1422_20161031,01-Nov-2016,12:00,,,01,Nov,2016
35546,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161031,01-Nov-2016,00:00,,,01,Nov,2016
35547,Delhi,"East Arjun Nagar, Delhi - CPCB",site_116,Delhi,run2_delhi_delhi_site_116_20161031,01-Nov-2016,04:00,,,01,Nov,2016
