Station,Year,January,February,March,April,May,June,July,August,September,October,November,December
"Anand Vihar, Delhi - DPCC",2018,31,28,26,30,31,27,NA,20,26,NA,NA,NA
"Anand Vihar, Delhi - DPCC",2017,28,26,30,29,30,7,NA,NA,NA,16,30,30
"Anand Vihar, Delhi - DPCC",2016,30,23,19,23,21,30,30,28,30,31,30,31
"Anand Vihar, Delhi - DPCC",2015,NA,NA,NA,24,30,27,29,31,30,29,30,24
"Anand Vihar, Delhi - DPCC",2013,27,27,9,18,NA,NA,NA,NA,NA,NA,NA,NA
"Anand Vihar, Delhi - DPCC",2012,NA,NA,NA,NA,NA,NA,8,31,24,29,28,29
"Ashok Vihar, Delhi - DPCC",2018,NA,28,30,30,31,30,31,31,30,NA,NA,NA
"Aya Nagar, New Delhi - IMD",2018,31,28,31,30,31,29,31,31,26,NA,NA,NA
"Aya Nagar, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,NA,23,31,30,30
"Aya Nagar, New Delhi - IMD",2010,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA
"Bawana, Delhi - DPCC",2018,NA,NA,NA,NA,NA,NA,28,31,30,NA,NA,NA
"Bawana, Delhi - DPCC",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bawana, Delhi - DPCC",2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bawana, Delhi - DPCC",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burari Crossing, New Delhi - IMD",2018,31,28,31,30,12,NA,NA,23,27,NA,NA,NA
"Burari Crossing, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,1,28,31,30,24
"Burari Crossing, New Delhi - IMD",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"Burari Crossing, New Delhi - IMD",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Burari Crossing, New Delhi - IMD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"Burari Crossing, New Delhi - IMD",2012,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
"Burari Crossing, New Delhi - IMD",2010,NA,NA,1,NA,NA,NA,NA,NA,17,1,NA,1
"CRRI Mathura Road, New Delhi - IMD",2018,31,28,31,28,31,30,31,31,30,NA,NA,NA
"CRRI Mathura Road, New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,2,25,30,30,31
"CRRI Mathura Road, New Delhi - IMD",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"CRRI Mathura Road, New Delhi - IMD",2015,31,28,31,30,NA,NA,NA,NA,30,30,30,1
"CRRI Mathura Road, New Delhi - IMD",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CRRI Mathura Road, New Delhi - IMD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CRRI Mathura Road, New Delhi - IMD",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CRRI Mathura Road, New Delhi - IMD",2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CRRI Mathura Road, New Delhi - IMD",2010,NA,NA,NA,NA,NA,NA,NA,16,30,1,NA,1
"DTU, New Delhi - CPCB",2018,31,26,31,28,29,30,31,31,30,NA,NA,NA
"DTU, New Delhi - CPCB",2017,31,28,31,30,25,30,31,31,30,31,30,31
"DTU, New Delhi - CPCB",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,31
"Dr. Karni Singh Shooting Range, Delhi - DPCC",2018,NA,28,31,30,31,30,29,31,30,NA,NA,NA
"Dwarka-Sector 8, Delhi - DPCC",2018,NA,28,31,30,31,29,31,31,30,NA,NA,NA
"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,
"IGI Airport (T3), New Delhi - IMD",2018,31,28,31,30,31,30,31,31,29,NA,NA,NA
"IGI Airport (T3), New Delhi - IMD",2017,NA,NA,NA,NA,NA,NA,NA,1,22,31,30,31
"IGI Airport (T3), New Delhi - IMD",2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"IGI Airport (T3), New Delhi - IMD",2015,NA,NA,NA,1,NA,NA,NA,NA,30,31,30,1
"IGI Airport (T3), New Delhi - IMD",2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"IGI Airport (T3), New Delhi - IMD",2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2018,31,28,31,30,31,30,31,29,30,NA,NA,NA
"IHBAS, Dilshad Garden,New Delhi - CPCB",2017,31,28,31,30,30,30,27,29,30,31,30,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2016,17,9,NA,18,30,28,26,26,29,31,30,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2015,31,28,31,30,22,NA,NA,NA,NA,NA,22,30
"IHBAS, Dilshad Garden,New Delhi - CPCB",2014,31,28,31,29,30,24,31,31,30,31,30,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2013,31,28,31,30,31,29,31,31,30,31,28,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2012,31,29,31,26,30,30,26,24,30,29,30,31
"IHBAS, Dilshad Garden,New Delhi - CPCB",2011,31,28,31,30,30,28,31,31,21,31,30,30
"IHBAS, Dilshad Garden,New Delhi - CPCB",2010,30,28,6,NA,21,30,31,31,30,31,30,30
"IHBAS, Dilshad Garden,New Delhi - CPCB",2009,28,28,31,28,28,30,23,28,30,31,29,24
"IHBAS, Dilshad Garden,New Delhi - CPCB",2008,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,NA
"ITO, New Delhi - CPCB",2018,31,28,31,30,31,29,29,28,30,NA,NA,NA
