id,city,site_name,site,state,query_name,from_date,from_time,pm25,pm10
1,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,00:00,20.0,
2,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,04:00,9.0,
3,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,08:00,10.62,
4,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,12:00,0.0,
5,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,16:00,5.0,
6,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,06-Oct-2017,20:00,13.25,
7,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,00:00,9.38,
8,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,04:00,40.0,
9,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,08:00,22.25,
10,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,12:00,0.0,
11,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,16:00,10.0,
12,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,07-Oct-2017,20:00,14.25,
13,Kanpur,"Nehru Nagar, Kanpur - UPPCB",site_276,Uttar Pradesh,uttarpradesh_kanpur_site_276_20171006,08-Oct-2017,00:00,9.88,
